hi,irid,yb
0.999999999,0.705488836,1
0.564746169,,1
0.493833356,0.702714177,1
,0.587249057,1
,0.551557182,0.8888889
0.134115364,0.380946853,0.6
0.248666623,0.233707669,0.3571429
0.229735255,0.299091515,0.3269231
,0.22316177,0.5625
,0.204586633,0.5
,0.209855193,0.0446582
,0.100240865,0
